customer_state,customer_unique_id,total_spent,spend_rank
AC,62a459e5629b03dd73134964df732077,1251.70,1
AC,086d6b5b5ba195a91aa0a6ec8e75d1a4,995.18,2
AC,3947ca729a860c522a64a49d762baada,905.93,3
AC,3e5c928acf49c4b95e57af1f350d3493,861.26,4
AC,28989ef45087c96e5a4346e88216c2ba,723.15,5
AC,12e92c0f870fc6941c2bfafae6357c4b,646.44,6
AC,22c739518f5240ffd2f80e0087aebe26,618.60,7
AC,0845d810b482f4d469d3c88380f4a7d5,595.49,8
AC,c6bc2bf4b75f3f9da5ce95971a2f463b,591.88,9
AC,2ec67750cd5b985538c03061ebee01ef,548.93,10
AL,03adb96012772d4374285b6a701f3da9,2269.98,1
AL,9b661514ad84d0489ac73d9e24cbf169,1942.00,2
AL,5a1f8efaa6ce666e9622bf2e22c42aac,1658.81,3
AL,87c9e7ba960e4c2e6bd786b162adc639,1653.98,4
AL,3d16152c514410c047904cd433439892,1650.56,5
AL,361dc89b24a5dc808b2803a1ac33ff3f,1518.55,6
AL,aa4e2575d36a7b89546ca2e4087e9396,1359.40,7
AL,e0ec68a8b0e7ef75d72bc0dc54aba121,1257.96,8
AL,7b7a886f0445009847efbd1fac86c093,1227.89,9
AL,e6e1fd539bd2d78fcfb9c24ba6e1dcf5,1063.09,10
AM,23841d4abf4583dec7773f3bd2fe267d,1853.75,1
AM,64b97e6d3c070dd372d6310ff2c632f7,1384.74,2
AM,dff33bfc45ae0becc55ce9b50acd4073,1275.77,3
AM,3246cc1ffb8b0e719e5ba4db0443185d,1259.04,4
AM,f50b0ade21665c5b41d8d1db10ef9932,725.69,5
AM,c908c86cc48522f185aec323517b65fb,628.18,6
AM,751921e44f9db5fd14ad6a431c27024d,604.76,7
AM,a09d3cf8049c700597f6801d108d164d,592.49,8
AM,4a598c97b3c81cc5d6097dddc0c16a72,545.08,9
AM,a239b8e2fbce33780f1f1912e2ee5275,518.50,10
AP,7a44821edf14b2b2ef3ffb2c6e837e5b,1482.42,1
AP,f03553cc2a5d9a0d2b945ccf7f4c54bc,1475.08,2
AP,6f932f011a8e866d632f58cc7580a7f5,1049.53,3
AP,b3eb76b315600c9f8c3a711b6a3d1668,837.39,4
AP,1f14cece5da31d108e380c174f68f552,657.61,5
AP,bbe8686a830c0caaf68452997d73d396,605.83,6
AP,64d233b65179d3ddf11efaf73a612e8d,466.20,7
AP,79e8da40d2295512051a82eda0663058,425.24,8
AP,b473037c9a5238bb73f2392b19f203ba,383.05,9
AP,c9e24d1044102ec9b590df097e3dcdc0,331.68,10
BA,76a08544f95591acec0d4c976054c459,3358.24,1
BA,be825ddd3b40db3f91bf05b4e9435d56,3122.72,2
BA,ff0ae98646e7bbb41cf0f0d3991fef98,3048.27,3
BA,ae04948ad7210ea76801b331080e0b3a,3009.53,4
BA,eae0a83d752b1dd32697e0e7b4221656,2783.01,5
BA,acc38a550c42d17125cd25c32a464d26,2759.95,6
BA,fc54c2c09aee36da48881e5bf37ef795,2732.06,7
BA,60b2ec19b8c18082cdb5180106a97cb5,2692.82,8
BA,d77aa95864ae5b42160937615628723a,2450.10,9
BA,00c07da5ba0e07b4f248a3a373b07476,2304.68,10
CE,149b43a4776ea0a773ac75bc58830fb9,2734.11,1
CE,1a3a962a15f8c6ee0178e1102387d3cc,2223.12,2
CE,ac32c69c438fa163767f5aa5c4d0b6e1,1925.77,3
CE,9654d6df6a63f5a9b61dd5ba0e0d8286,1891.63,4
CE,1ee27e3ae93ad59224094a4ea0c71dc2,1869.80,5
CE,b3879dce6b4a3b94b748b6c9b567695e,1768.40,6
CE,910f0afb84bc778e856d3683c7e8a46a,1756.10,7
CE,23b8272c10c49458eac0b8626f0666ca,1643.64,8
